Preparing directory CIFAR10_VGG19BN_400E
Using model VGG19BN
Loading dataset: CIFAR10
Files already downloaded and verified
Files already downloaded and verified
Preparing model
SWA and ASWA training
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
   1  14.8121    11.5467        12.6800         12.3533
   2  12.5600     9.9867        13.6333         13.6133
   3  11.7656     9.9867        14.5133         14.3733
   4  11.3775     9.9867        15.1467         15.3400
   5  11.9736     9.9867        15.1533         15.1133
   6  11.6143    10.5933        15.0800         15.4267
   7  12.0650     9.4867        15.3933         15.2333
   8  11.6834     9.4867        15.7667         15.4067
   9  12.3997     9.4867        15.6333         16.2533
  10  11.6455     9.4867        16.1000         16.3133
  11  11.6550     9.4867        16.6533         16.5067
  12  11.8640     9.4867        16.9200         17.0267
  13  11.7394     9.4867        17.4733         17.4933
  14  12.2518     9.4867        17.6200         17.8400
  15  11.8529     9.4933        18.1533         18.2267
  16  11.9017     9.4933        18.5133         18.5000
  17  11.8474     9.5067        18.9533         19.2200
  18  12.3507     9.5533        19.0800         19.7867
  19  11.6643     9.7533        19.3667         19.9867
  20  11.9788    10.3133        19.9200         20.5800
  21  12.0335    11.1333        20.1733         20.5000
  22  12.1450    12.3667        21.1133         21.1867
  23  11.9424    13.8000        21.1000         21.4667
  24  12.1508    14.6800        21.9733         21.8467
  25  12.4865    16.1400        22.1467         22.3600
  26  12.4344    18.0867        22.4933         22.7067
  27  12.2976    19.8867        23.2067         22.9733
  28  11.8658    21.0867        23.2467         23.5067
  29  12.0885    22.7000        23.8267         23.5200
  30  12.4444    23.9400        23.6133         24.0733
  31  11.8407    25.0067        24.2200         24.1067
  32  11.9002    25.2533        24.3667         24.5600
  33  12.0019    25.7400        24.5867         24.9867
  34  11.8577    26.0733        24.8200         25.2067
  35  11.6537    26.6733        25.0733         25.6133
  36  11.6317    27.0733        25.2867         25.6133
  37  11.8594    27.3200        26.0133         25.9200
  38  11.9837    28.0733        25.9800         26.6533
  39  11.8366    28.5333        27.0067         26.3333
  40  11.9833    28.6067        27.1200         27.1400
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
  41  11.9436    29.2400        27.4133         27.7400
  42  11.8779    28.9867        27.7400         27.7800
  43  12.0592    29.4600        28.0933         28.0333
  44  11.9778    30.7733        28.0067         28.7200
  45  12.1735    31.9533        28.1800         28.9200
  46  11.8203    32.6067        28.3733         29.3133
  47  11.9330    34.6467        29.0467         29.3000
  48  11.7996    34.7467        29.2067         29.5600
  49  11.6190    33.9867        29.3333         30.4000
  50  12.2129    32.5067        29.7467         30.4800
  51  12.3681    32.5133        29.7600         30.7267
  52  11.6474    33.0733        30.4200         30.2800
  53  12.1148    34.0133        30.0733         31.2400
  54  12.2609    33.4067        30.8600         31.7400
  55  12.7929    32.7267        31.0467         31.9267
  56  12.1349    33.1000        31.4667         32.0667
  57  12.0391    34.5333        31.8933         32.2400
  58  11.5081    36.0733        31.6533         32.2867
  59  11.5025    37.1933        32.1200         32.8600
  60  12.0566    36.4000        32.1267         33.1400
  61  11.8724    35.9533        32.7067         33.6333
  62  12.2219    36.6533        33.2333         33.3533
  63  11.8729    37.3933        33.0600         33.7467
  64  12.3855    38.0800        33.2733         33.5800
  65  11.8018    38.3733        33.2267         33.8800
  66  11.7508    38.9467        33.9067         34.4733
  67  11.8149    38.9133        33.8933         35.0267
  68  12.3775    39.4133        33.9467         34.7400
  69  11.8612    40.2933        34.5667         34.9933
  70  11.7550    40.2067        34.6800         34.9800
  71  11.6741    40.2867        34.9733         35.6267
  72  11.7412    40.1933        34.7667         35.8733
  73  11.8542    39.4400        35.4933         35.6733
  74  12.1282    39.5000        35.4000         35.6733
  75  12.3839    40.3933        35.8267         36.0667
  76  11.8170    40.6533        35.8133         36.2467
  77  11.7747    41.1600        35.6667         36.7933
  78  12.1324    41.9467        36.5133         37.1333
  79  12.0754    42.3467        36.5867         37.1333
  80  12.3829    43.5467        36.4200         37.1267
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
  81  11.8576    43.6867        36.9533         37.6133
  82  13.2598    43.8267        36.8733         37.5867
  83  13.3281    44.3000        37.0933         37.4000
  84  13.4846    43.9000        37.3467         38.4200
  85  12.5443    43.4867        37.3400         38.0733
  86  11.9542    44.0533        37.3667         38.5667
  87  11.7234    44.5600        37.6267         38.3000
  88  11.8510    45.0800        38.2867         38.6867
  89  12.1365    45.3000        38.2200         38.6867
  90  11.7954    46.2867        38.4400         38.7000
  91  12.2851    44.8867        37.9400         39.0133
  92  12.0593    44.9467        38.6200         39.3667
  93  11.8795    47.2933        39.0133         39.5067
  94  12.3265    46.3333        38.9733         39.9533
  95  13.1998    45.5600        39.2800         39.8400
  96  13.1024    47.4333        38.9533         39.7333
