Preparing directory CIFAR10_VGG19_200E
Using model VGG19
Loading dataset: CIFAR10
Files already downloaded and verified
Files already downloaded and verified
Preparing model
SWA and ASWA training
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
   1  5.8436    10.1267        10.1267         10.1267
   2  4.3043     9.4867        10.8067         10.8867
   3  4.4567     9.4867         9.4867          9.4867
   4  5.4393     9.4867         9.4867          9.4867
   5  4.5069     9.4867         9.4867          9.4867
   6  4.3716     9.4867         9.4867          9.4867
   7  4.3459     9.4867         9.4867          9.4867
   8  4.4461     9.4867         9.4867          9.4867
   9  4.2623     9.4867         9.4867          9.4867
  10  4.3445     9.4867         9.4867          9.4867
  11  4.4055     9.4800         9.4867          9.4867
  12  4.1912     9.4867         9.4867          9.4867
  13  4.2732    10.9000         9.4867          9.4867
  14  4.4597     9.9067         9.4867          9.4867
  15  4.3348    10.4267         9.4867          9.6800
  16  4.2678    12.3333         9.4867          9.7933
  17  4.4681     9.8867         9.4867         10.7467
  18  4.3109    10.8067         9.4867         11.5467
  19  4.2616    12.3667         9.4867         10.7400
  20  4.2004    10.3867         9.4867         10.0000
  21  4.2645    10.4333         9.4867          9.7867
  22  4.4786    10.5733         9.4867          9.8267
  23  4.3566    11.1200         9.4867          9.7933
  24  4.5598     9.9133         9.4867          9.7800
  25  4.7303    10.1867         9.4867         10.3533
  26  4.3650    11.3867         9.4867         10.3400
  27  4.1633     9.4867         9.4867          9.8067
  28  4.3699     9.4867         9.4867          9.6133
  29  4.2383    10.7867         9.4867          9.6467
  30  4.2934    10.4800         9.4867          9.9467
  31  4.5000     9.8867         9.4867         11.1800
  32  4.3244     9.9400         9.4867         12.2267
  33  4.4126    12.1467         9.4867         12.6267
  34  4.6194    10.2800         9.4867         12.5467
  35  4.8917    12.4600         9.4867         12.5800
  36  4.2463    11.1867         9.4867         12.7733
  37  4.5092    10.6733         9.4867         12.8933
  38  4.5649    12.1267         9.4867         12.9933
  39  4.3680    12.0667         9.4867         12.8533
  40  4.4604    12.0600         9.4867         12.8200
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  41  4.4743    14.9800         9.4867         12.9067
  42  4.4085    11.9800         9.4867         12.8867
  43  4.7238    15.1533         9.4867         12.6600
  44  4.4779    14.9333         9.4867         12.7533
  45  4.4681    15.2533         9.4867         12.5467
  46  4.3960    14.1800         9.4867         12.5000
  47  4.4727    15.4733         9.4867         12.6867
  48  4.4268    15.6133         9.4867         12.5600
  49  4.3805    15.7133         9.4800         12.9467
  50  4.8401    15.0867         9.4733         13.5667
  51  4.3819    15.9067         9.4467         14.5133
  52  4.1827    15.9800         9.4400         14.9867
  53  4.0831    16.1867         9.4400         15.6333
  54  4.6838    15.1733         9.5067         16.1067
  55  4.3447    15.6067         9.5333         16.3667
  56  4.2916    14.0600         9.5933         16.2867
  57  4.1557    14.0333         9.5800         16.1733
  58  4.4872    15.6933         9.4933         16.0733
  59  4.2466    15.9400         9.5733         16.4533
  60  4.4911    14.2467         9.5600         16.2733
  61  4.5495    15.6600         9.6800         16.2400
  62  4.3754    16.1933         9.6333         16.2733
  63  4.3311    16.2000         9.6733         16.5067
  64  4.4251    16.4667         9.7400         16.5800
  65  4.3743    16.1333         9.7667         16.4600
  66  4.4783    16.3000         9.7667         16.5267
  67  4.6733    15.7067         9.7933         16.5400
  68  4.5177    16.0400         9.8333         16.5867
  69  4.7871    15.8933         9.9333         16.5667
  70  4.5973    17.6533         9.8733         16.4267
  71  5.0096    17.6600         9.9600         16.5200
  72  4.6020    17.5333         9.9933         16.3933
  73  4.5598    17.5200         9.9333         16.3267
  74  4.1616    17.6400        10.1000         16.4133
  75  4.7133    17.7333        10.0800         16.1333
  76  4.2844    17.9800        10.1467         16.2800
  77  4.4995    17.8667        10.2000         16.3667
  78  4.6559    17.2400        10.5200         16.2800
  79  4.5444    17.3867        10.6733         16.4333
  80  4.4042    18.0400        10.7800         16.2000
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  81  4.4248    18.1933        11.0400         16.1667
  82  5.0028    18.3933        11.4000         16.2333
  83  4.3817    17.9467        11.5333         16.3600
  84  4.2837    10.8800        11.8667         16.2933
  85  4.5290    17.4467        12.0200         16.3133
  86  4.4006    14.8867        11.9333         16.4467
  87  4.4648    20.6400        12.0467         16.5667
  88  4.6040    16.9867        12.1467         16.6800
  89  4.4264    13.9267        12.5133         16.7600
  90  4.4910    14.7467        12.6267         16.6333
  91  5.2806    16.2600        13.0600         16.8000
  92  5.5087    16.6800        13.2933         16.7933
  93  5.3445    16.6067        13.1000         16.6867
  94  5.4969    16.9133        13.4600         16.6067
  95  5.5286    18.1133        13.6467         16.7467
  96  5.4918    18.2333        13.6067         17.5600
  97  5.4199    18.8933        13.8933         17.7800
